BF                  2.38	2.66	2.47	2.35	2.45	2.37	2.57	2.39	2.42	2.37	2.37	2.40
MP                  3.84	4.09	3.82	3.97	3.87	3.79	3.97	3.79	4.23	3.76	3.81	3.75
KMP                 3.71	3.95	3.72	3.89	3.75	3.84	3.70	3.81	4.17	3.76	3.88	3.80
BM                  3.70	2.33	1.43	1.10	1.10	0.92	0.84	0.79	0.82	0.72	0.70	0.67
HOR                 3.07	1.89	1.20	0.92	0.91	0.87	0.83	0.85	0.86	0.83	0.87	0.86
GS                  5.98	6.49	5.98	6.09	5.93	6.29	6.06	5.95	6.27	5.97	6.24	6.41
AG                  6.40	5.02	3.50	2.60	2.15	2.27	2.81	4.17	5.60	8.84	13.87	25.38
KR                  2.37	1.53	1.10	1.08	1.11	1.10	1.08	1.10	1.23	1.20	1.09	1.25
ZT                  4.50	2.38	1.20	0.69	0.48	0.37	0.32	0.31	0.35	0.31	0.31	-
AC                  3.14	2.98	2.60	2.80	2.98	2.78	2.74	2.63	2.94	2.67	2.70	2.97
TW                  2.13	2.12	1.88	1.89	2.11	2.15	1.97	2.00	1.95	2.11	1.98	1.99
OM                  3.23	2.07	1.43	1.08	1.11	0.94	0.84	0.82	0.77	0.80	0.93	-
MS                  3.06	2.04	1.39	0.99	0.93	0.75	0.70	0.68	0.70	0.81	1.47	-
QS                  2.59	1.84	1.40	0.95	0.90	0.90	0.89	0.90	0.89	0.86	0.90	1.01
NSN                 1.86	1.92	2.14	1.94	2.03	1.94	2.03	1.96	2.09	1.94	1.98	1.98
TBM                 5.33	3.18	2.25	1.51	1.54	1.33	1.18	1.17	1.05	0.97	0.94	0.91
COLUSSI             3.71	3.78	4.27	3.79	4.27	3.85	4.04	3.85	3.87	3.86	3.83	3.97
SMITH               2.90	1.60	1.15	0.78	0.82	0.71	0.80	0.70	0.72	0.70	0.81	0.73
GG                  3.62	4.03	4.29	3.95	3.97	3.93	4.07	4.16	3.96	3.93	4.22	3.90
RAITA               3.13	1.95	1.12	0.89	0.96	0.82	0.81	0.94	0.80	0.81	0.94	0.82
SMOA                3.70	3.68	3.34	3.32	3.84	3.25	3.47	3.38	3.43	3.51	3.38	3.34
RCOLUSSI            -	-	-	-	-	-	-	-	-	-	-	-
SKIP                2.69	2.17	1.50	1.03	0.92	0.67	0.70	0.57	0.58	0.72	0.76	0.87
KMPSKIP             2.92	2.46	1.73	1.30	1.18	0.93	0.99	0.85	0.84	0.83	0.83	0.84
ASKIP               4.17	3.03	1.41	0.66	0.45	0.44	0.66	1.03	1.93	4.18	9.02	18.19
BR                  2.60	1.71	1.04	0.69	0.47	0.36	0.36	0.30	0.30	0.30	0.34	0.33
