BF                  1.96	1.96	1.91	2.05	2.02	1.89	1.90	2.01	2.00	2.07	2.00	2.14
MP                  3.12	3.23	3.16	3.19	3.50	3.20	3.11	3.26	3.27	3.55	3.22	3.49
KMP                 3.14	3.12	3.13	3.20	3.22	3.12	3.04	3.15	3.18	3.52	3.13	3.16
BM                  3.36	2.07	1.17	0.78	0.57	0.46	0.39	0.35	0.37	0.34	0.29	0.31
HOR                 2.84	1.70	0.99	0.68	0.50	0.41	0.36	0.32	0.34	0.30	0.27	0.28
GS                  5.45	5.92	5.44	5.81	5.69	5.47	5.31	5.44	5.63	5.68	5.27	5.92
AG                  5.59	4.21	2.58	2.00	1.49	1.05	1.07	1.21	1.63	1.93	2.66	4.01
KR                  1.38	1.32	1.09	1.15	1.12	1.09	1.11	1.07	1.24	1.12	1.10	1.12
ZT                  3.79	2.11	1.10	0.66	0.46	0.34	0.29	0.26	0.31	0.30	0.27	-
AC                  2.54	2.44	2.26	2.39	2.48	2.43	2.27	2.32	2.26	2.27	2.31	2.36
TW                  1.86	1.79	1.62	1.81	1.61	1.41	1.30	1.23	1.16	1.13	1.15	1.13
OM                  2.57	1.96	1.14	0.90	0.65	0.47	0.42	0.37	0.36	0.38	0.50	-
MS                  2.60	1.89	1.10	0.78	0.52	0.43	0.37	0.36	0.38	0.51	0.95	-
QS                  2.30	1.77	1.02	0.69	0.51	0.42	0.37	0.32	0.30	0.29	0.26	0.25
NSN                 1.54	1.81	1.54	1.61	1.57	1.83	1.59	1.62	1.59	1.57	1.56	1.55
TBM                 5.16	2.95	1.76	1.09	0.74	0.67	0.49	0.43	0.44	0.36	0.32	0.30
COLUSSI             3.64	3.46	3.29	3.35	3.31	3.89	3.38	3.81	3.62	3.37	3.43	3.53
SMITH               2.52	1.56	0.94	0.60	0.45	0.42	0.32	0.33	0.27	0.27	0.25	0.27
GG                  3.36	3.57	3.37	3.39	3.48	3.85	3.68	3.81	3.37	3.39	3.34	3.53
RAITA               2.79	1.78	1.08	0.64	0.56	0.40	0.38	0.34	0.30	0.29	0.26	0.24
SMOA                2.81	2.99	2.91	2.80	3.03	2.86	2.73	3.04	2.83	2.96	2.84	2.68
RCOLUSSI            -	-	-	-	-	-	-	-	-	-	-	-
