BF                  1.47	1.51	1.48	1.52	1.49	1.43	1.51	1.45	1.42	1.48	1.46	1.47
MP                  2.67	2.85	2.96	2.70	2.77	2.77	2.89	2.68	2.93	2.75	2.74	2.76
KMP                 2.72	2.72	2.79	2.71	2.73	2.76	2.98	2.70	2.91	2.68	2.90	2.70
BM                  3.17	1.78	0.97	0.63	0.45	0.38	0.36	0.35	0.35	0.35	0.40	0.35
HOR                 2.62	1.40	0.79	0.52	0.39	0.33	0.31	0.31	0.31	0.31	0.36	0.31
GS                  5.07	5.27	5.04	5.46	5.48	5.06	5.51	5.14	5.35	5.09	5.10	5.07
AG                  5.00	3.11	1.85	1.48	1.20	0.89	1.16	1.40	2.00	3.49	5.67	9.85
KR                  1.30	1.22	1.10	1.24	1.05	1.10	1.24	1.12	1.09	1.25	1.24	1.07
ZT                  3.71	1.91	1.04	0.70	0.41	0.31	0.31	0.25	0.29	0.30	0.26	-
AC                  2.26	2.02	2.04	2.22	2.18	2.04	2.20	2.09	2.08	2.20	2.08	2.03
TW                  1.46	1.28	1.26	1.46	1.45	1.31	1.47	1.33	1.33	1.29	1.30	1.26
OM                  2.38	1.39	0.88	0.67	0.51	0.37	0.37	0.36	0.38	0.37	0.46	-
MS                  2.38	1.45	0.87	0.67	0.51	0.36	0.35	0.35	0.40	0.51	0.97	-
QS                  2.01	1.24	0.75	0.57	0.42	0.34	0.31	0.31	0.31	0.32	0.32	0.31
NSN                 1.10	1.10	1.09	1.08	1.07	1.08	1.12	1.10	1.08	1.11	1.13	1.08
TBM                 4.50	2.39	1.30	0.81	0.57	0.46	0.43	0.42	0.41	0.42	0.42	0.42
COLUSSI             3.03	3.01	3.09	3.07	3.10	3.05	3.04	3.07	3.06	3.41	3.14	3.40
SMITH               2.33	1.55	0.86	0.55	0.40	0.32	0.30	0.30	0.29	0.35	0.30	0.35
GG                  3.20	3.06	3.10	3.17	3.17	3.24	3.07	3.09	3.12	3.48	3.07	3.24
RAITA               2.52	1.38	0.75	0.49	0.37	0.37	0.30	0.30	0.35	0.35	0.30	0.35
SMOA                2.05	2.12	2.02	2.05	1.92	2.04	2.01	1.99	2.09	2.09	2.00	2.16
RCOLUSSI            -	-	-	-	-	-	-	-	-	-	-	-
SKIP                0.92	0.70	0.60	0.65	0.45	0.34	0.30	0.27	0.33	0.35	0.41	0.44
KMPSKIP             0.90	0.74	0.66	0.74	0.51	0.41	0.35	0.30	0.30	0.30	0.34	0.31
ASKIP               2.27	1.55	1.12	0.93	0.54	0.47	0.63	1.12	2.36	5.35	10.93	21.86
BR                  1.99	1.29	0.81	0.57	0.38	0.30	0.26	0.23	0.30	0.30	0.25	0.25
AKC                 19.45	10.68	6.11	3.47	2.28	4.45	2.97	2.15	2.22	1.72	1.46	1.48
FS                  2.31	1.19	0.79	0.48	0.38	0.33	0.31	0.30	0.35	0.30	0.30	0.31
FFS                 2.28	1.29	0.84	0.54	0.44	0.38	0.35	0.35	0.38	0.38	0.39	-
BFS                 2.20	1.30	0.85	0.53	0.47	0.38	0.35	0.35	0.37	0.38	0.40	0.57
TS                  1.08	1.21	0.99	0.84	0.68	0.51	0.39	0.34	0.32	0.33	0.38	0.55
SSABS               1.70	1.19	0.72	0.49	0.39	0.34	0.32	0.31	0.32	0.32	0.32	0.34
TVSBS               1.81	1.42	0.83	0.54	0.39	0.31	0.27	0.25	0.33	0.28	0.25	-
PBMH                2.64	1.52	0.79	0.52	0.39	0.35	0.36	0.48	0.98	3.01	10.75	42.02
FJS                 1.88	1.31	0.75	0.52	0.41	0.35	0.33	0.34	0.33	0.34	0.34	0.35
HASH3               1.17	3.16	1.10	0.56	0.36	0.28	0.25	0.22	0.27	0.28	0.28	0.28
HASH5               1.31	1.34	1.93	0.73	0.42	0.30	0.25	0.23	0.28	0.28	0.28	0.28
HASH8               1.22	1.31	9.59	1.14	0.53	0.34	0.26	0.24	0.27	0.28	0.28	0.28
TSW                 1.15	0.94	0.56	0.41	0.32	0.27	0.25	0.23	0.27	0.24	0.23	0.22
GRASPM              2.07	1.11	-	-	-	-	-	-	-	-	-	-
SSEF                1.18	1.15	1.14	1.24	4.34	3.87	3.86	3.70	4.03	4.48	6.19	12.95
AUT                 2.90	3.04	3.04	3.03	3.00	2.89	3.16	3.06	3.59	3.97	4.04	5.17
RF                  1.17	0.79	0.74	0.55	0.35	0.28	0.36	0.44	0.61	0.90	1.85	3.70
TRF                 1.57	1.00	0.86	0.64	0.46	0.40	0.47	0.60	0.79	1.49	2.93	6.06
SIMON               1.82	1.85	2.05	1.82	1.85	-	-	-	-	-	-	-
FDM                 2.10	2.66	3.91	5.75	6.28	4.52	4.23	5.77	7.85	11.13	11.28	15.27
BOM                 1.66	1.27	1.33	1.11	0.96	0.75	0.50	0.38	0.35	0.36	0.43	0.68
BOM2                1.09	0.80	0.73	0.53	0.36	0.25	0.26	0.30	0.39	0.59	1.01	2.17
DFDM                2.03	2.68	3.89	5.62	6.61	4.42	4.35	5.22	7.86	10.49	11.73	15.07
WW                  1.88	1.17	0.83	0.61	0.47	0.39	0.40	0.52	0.87	1.58	3.23	6.23
LDM                 1.42	1.46	1.48	1.47	1.60	1.80	1.89	2.18	2.98	6.58	14.29	40.64
ILDM1               1.19	0.84	0.67	0.57	0.38	0.37	0.50	0.70	0.99	2.12	3.84	7.92
ILDM2               2.11	1.28	0.85	0.65	0.45	0.41	0.53	0.69	1.04	2.22	3.91	8.43
EBOM                0.84	0.41	0.29	0.25	0.24	0.24	0.29	0.30	0.39	0.69	1.02	2.36
FBOM                2.16	1.48	0.83	0.55	0.40	0.34	0.33	0.41	0.47	0.62	1.02	2.35
SEBOM               1.19	0.50	0.32	0.26	0.24	0.24	0.27	0.31	0.40	0.61	1.02	2.34
SFBOM               2.54	1.45	0.86	0.57	0.41	0.34	0.33	0.42	0.48	0.62	1.02	2.42
SKIP2               1.37	0.54	0.35	0.28	0.24	0.24	0.23	0.23	0.23	0.24	0.27	0.41
SKIP3               1.33	1.52	0.58	0.37	0.27	0.24	0.22	0.23	0.22	0.23	0.26	0.36
SKIP4               1.26	1.39	0.42	0.27	0.22	0.21	0.20	0.20	0.20	0.21	0.25	0.32
SKIP5               1.22	1.16	0.55	0.30	0.24	0.21	0.20	0.21	0.21	0.22	0.25	0.32
SKIP6               1.13	1.15	0.71	0.32	0.24	0.22	0.21	0.21	0.21	0.22	0.25	0.33
SKIP7               1.13	1.25	1.19	0.38	0.26	0.22	0.21	0.21	0.21	0.22	0.25	0.32
SKIP8               1.16	1.32	2.79	0.44	0.29	0.24	0.23	0.22	0.21	0.22	0.25	0.32
SO                  0.91	1.02	0.95	0.89	0.91	0.77	0.77	0.79	0.79	0.77	0.77	0.78
SA                  1.14	1.16	1.16	1.13	1.19	1.10	1.08	1.10	1.10	1.13	1.09	1.08
BNDM                1.04	0.75	0.61	0.52	0.35	0.35	0.35	0.35	0.35	0.34	0.35	0.35
BNDML               1.07	0.76	0.61	0.52	0.34	0.35	0.27	0.26	0.29	0.37	0.51	1.15
SBNDM               1.62	0.63	0.37	0.26	0.22	0.32	0.32	0.33	0.32	0.32	0.32	0.33
TNDM                0.84	0.65	0.56	0.50	0.33	0.34	0.34	0.34	0.34	0.34	0.34	0.34
TNDMA               1.26	0.83	0.66	0.56	0.40	0.41	0.41	0.40	0.41	0.40	0.41	0.40
LBNDM               1.21	0.85	0.68	0.57	0.37	0.25	0.24	0.23	0.22	0.22	0.30	1.97
SVM0                3.58	1.91	1.08	0.62	0.43	0.44	0.43	0.44	0.43	0.44	0.43	0.43
SVM1                1.15	1.02	0.98	1.02	0.95	0.96	0.94	0.96	0.96	1.03	0.96	0.94
SVM2                5.15	2.64	1.37	0.80	0.52	0.52	0.52	0.52	0.52	0.52	0.60	0.53
SVM3                4.70	2.54	1.22	0.85	0.57	0.56	0.56	0.55	0.57	0.57	0.57	0.56
SVM4                4.16	2.47	1.27	0.82	0.63	0.62	0.61	0.62	0.63	0.63	0.63	0.63
SBNDM2              1.06	0.50	0.35	0.24	0.21	0.21	0.21	0.21	0.22	0.21	0.21	0.21
SBNDM-BMH           1.64	0.88	0.69	0.46	0.33	0.33	0.32	0.33	0.33	0.33	0.33	0.33
BMH-SBNDM           2.14	1.15	0.76	0.45	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35
FNDM                0.93	0.72	0.63	0.50	0.33	0.34	0.33	0.34	0.34	0.33	0.34	0.34
BWW                 1.59	0.96	0.71	0.56	0.39	0.39	0.39	0.40	0.40	0.39	0.39	0.39
FAOSO2              1.19	0.59	0.57	0.56	0.55	0.56	0.56	0.56	0.55	0.54	0.55	0.55
