TVSBS               4.42	2.84	2.30	1.62	1.27	1.19	1.15	1.02	1.52	1.03	0.93	0.97
FJS                 4.20	2.38	1.77	1.34	1.17	1.05	1.15	1.18	0.98	0.88	0.94	1.25
HASH8               3.07	2.26	17.49	2.32	1.36	0.88	0.91	0.80	0.90	0.90	0.88	1.06
SO                  2.24	2.04	2.13	2.05	2.00	1.66	2.00	1.46	1.74	1.67	1.65	2.19
SBNDM               3.47	1.63	1.31	0.90	0.83	0.79	1.13	0.86	0.99	0.82	0.92	1.17
LBNDM               2.69	1.90	1.92	1.23	1.08	0.80	0.80	0.76	0.71	0.87	1.10	3.48
SBNDM2              1.97	1.33	0.94	0.84	0.92	0.82	0.71	0.81	0.64	1.04	0.92	0.94
SBNDM-BMH           3.36	1.85	1.33	1.25	1.39	1.09	1.02	0.87	1.08	0.92	1.02	1.24
FNDM                2.18	1.73	1.40	1.33	0.90	1.05	0.89	1.18	0.91	0.96	1.22	1.34
FSBNDM              1.72	1.34	1.04	1.00	1.00	0.74	0.94	0.68	0.91	0.77	0.97	0.87
SBNDMQ8             1.94	2.57	5.63	1.47	1.10	0.75	0.77	0.75	0.95	0.98	1.11	1.17
UFNDMQ2             1.70	1.13	1.06	0.86	0.95	0.91	0.65	0.65	0.70	0.76	0.88	0.87
UFNDMQ8             2.00	2.35	1.48	1.01	1.04	0.87	1.01	0.91	0.75	1.03	0.93	0.98
KBNDM               3.30	2.04	1.33	1.08	0.91	0.97	0.76	0.76	0.81	0.73	0.88	0.99
FS-W2               2.20	2.01	1.35	0.95	0.93	1.02	0.89	0.70	0.83	0.83	0.89	1.07
LWFR5               2.04	2.38	3.61	1.03	1.01	0.83	0.77	0.65	0.70	0.75	0.87	0.80
QF43                1.96	2.26	1.41	1.06	1.00	0.86	0.77	0.68	0.63	0.80	0.84	0.78
SBNDM-W2            1.75	1.86	1.19	0.95	0.98	0.84	0.97	0.70	0.68	0.74	1.13	1.16
WFR2                2.35	1.77	1.18	1.05	1.00	0.87	0.85	0.85	0.74	1.07	1.05	1.04
TWFRQ2              1.70	1.59	0.94	0.87	1.16	0.96	1.09	0.85	0.77	0.69	0.74	0.92
TWFRQ4              1.81	2.90	1.22	0.93	0.77	0.86	0.92	0.75	0.69	0.82	0.90	1.07
WOM                 3.04	2.86	1.69	1.62	0.87	0.96	0.83	0.90	0.91	1.06	1.10	0.82
LIBC1               1.44	1.28	0.95	0.87	0.73	0.75	0.85	0.79	0.93	0.91	1.35	0.85
MUSL1               0.01	0.74	0.99	0.83	0.57	0.50	0.63	0.55	0.42	0.40	0.66	0.55
SIMDKR              0.62	0.96	0.69	0.72	0.81	0.86	0.75	0.87	0.74	0.71	0.93	1.02
EPSM                0.78	0.96	1.09	1.24	1.00	0.91	0.65	0.85	0.77	0.79	1.13	1.45
