TVSBS               1.92	1.32	0.84	0.55	0.39	0.31	0.26	0.23	0.29	0.28	0.27	-
FJS                 2.24	1.45	0.95	0.67	0.52	0.47	0.43	0.43	0.43	0.43	0.43	0.43
HASH8               1.20	1.15	8.85	1.15	0.52	0.34	0.26	0.22	0.27	0.27	0.27	0.27
SO                  0.94	1.00	0.93	0.93	0.91	0.77	0.77	0.76	0.78	0.78	0.78	0.78
SBNDM               1.63	0.65	0.39	0.29	0.24	0.30	0.30	0.30	0.30	0.30	0.30	0.30
LBNDM               1.83	1.19	0.97	0.63	0.34	0.29	0.26	0.25	0.24	0.26	0.66	1.89
SBNDM2              1.20	0.51	0.33	0.26	0.23	0.23	0.23	0.23	0.23	0.23	0.23	0.23
SBNDM-BMH           1.81	1.10	0.77	0.52	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31
FNDM                1.36	1.08	0.89	0.56	0.33	0.33	0.33	0.33	0.33	0.33	0.33	0.33
FSBNDM              0.94	0.55	0.37	0.29	0.24	0.24	0.24	0.24	0.24	0.25	0.24	0.24
SBNDMQ8             1.18	1.17	2.96	0.45	0.27	0.27	0.27	0.27	0.27	0.27	0.27	0.27
UFNDMQ2             0.74	0.48	0.35	0.27	0.24	0.24	0.24	0.24	0.24	0.24	0.24	-
UFNDMQ8             1.13	1.17	0.51	0.34	0.28	0.28	0.28	0.28	0.28	0.28	0.28	-
KBNDM               1.93	1.04	0.61	0.40	0.31	0.27	0.24	0.26	0.26	0.26	0.26	0.29
FS-W2               1.50	0.96	0.54	0.39	0.33	0.29	0.28	0.27	0.27	0.26	0.26	0.30
LWFR5               1.17	1.30	1.50	0.28	0.22	0.20	0.19	0.18	0.17	0.17	0.17	0.20
QF43                1.18	1.35	0.43	0.27	0.21	0.20	0.19	0.18	0.18	0.17	0.17	0.19
SBNDM-W2            1.50	1.06	0.57	0.35	0.27	0.27	0.27	0.26	0.27	0.27	0.27	0.27
WFR2                1.30	0.67	0.42	0.33	0.29	0.25	0.21	0.21	0.19	0.17	0.18	0.21
TWFRQ2              0.95	0.50	0.38	0.32	0.30	0.26	0.21	0.20	0.19	0.17	0.18	0.21
TWFRQ4              1.17	1.27	0.39	0.26	0.21	0.20	0.19	0.18	0.18	0.17	0.18	0.19
WOM                 2.01	1.28	0.82	0.58	0.44	0.38	0.35	0.32	0.30	0.29	0.28	0.27
LIBC1               0.81	0.47	0.34	0.27	0.25	0.24	0.24	0.22	0.36	0.37	0.37	0.38
MUSL1               0.00	0.08	0.55	0.42	0.27	0.22	0.19	0.20	0.19	0.19	0.20	0.20
SIMDKR              0.26	0.27	0.27	0.28	0.27	0.27	0.29	0.29	0.29	0.29	0.28	0.28
EPSM                0.23	0.26	0.31	0.33	0.23	0.20	0.19	0.19	0.19	0.20	0.20	0.22
