BF                  1.15	1.12	1.13	1.11	1.18	1.10	1.17	1.15	1.10	1.14	1.12	1.16
MP                  2.12	2.00	2.03	2.03	2.18	1.97	2.15	2.23	2.00	2.12	2.03	2.14
KMP                 2.13	2.02	2.03	2.01	2.20	2.03	2.15	2.21	2.03	2.13	2.04	2.14
BM                  2.25	1.29	0.82	0.58	0.51	0.37	0.35	0.35	0.29	0.28	0.26	0.26
HOR                 1.75	0.99	0.66	0.48	0.45	0.34	0.32	0.33	0.28	0.27	0.25	0.25
GS                  2.01	1.91	1.91	1.92	2.03	1.90	1.99	2.04	1.88	1.97	1.89	2.04
AG                  3.43	2.03	1.43	1.01	0.83	0.65	0.65	0.73	0.76	1.00	1.21	1.75
KR                  0.80	0.69	0.68	0.68	0.72	0.67	0.69	0.72	0.68	0.70	0.68	0.68
ZT                  2.29	1.24	0.75	0.49	0.41	0.29	0.27	0.27	0.24	0.24	0.23	-
AC                  1.74	1.60	1.62	1.60	1.73	1.59	1.67	1.72	1.61	1.67	1.59	1.60
TW                  1.05	1.01	1.02	1.00	0.93	0.71	0.71	0.68	0.68	0.69	0.67	0.66
OM                  1.52	1.02	0.72	0.53	0.42	0.36	0.35	0.31	0.30	0.32	0.36	-
MS                  1.50	1.02	0.70	0.50	0.39	0.34	0.36	0.31	0.32	0.41	0.68	-
QS                  1.39	0.96	0.66	0.48	0.38	0.34	0.33	0.29	0.27	0.27	0.25	0.24
NSN                 0.95	0.93	0.90	0.90	0.92	0.92	0.94	0.93	0.91	0.95	0.90	0.92
TBM                 2.66	1.51	0.95	0.67	0.50	0.42	0.37	0.34	0.31	0.31	0.28	0.27
COLUSSI             2.23	2.12	2.15	2.09	2.15	2.24	2.18	2.12	2.11	2.24	2.10	2.10
SMITH               1.63	1.03	0.68	0.47	0.37	0.32	0.28	0.26	0.25	0.25	0.23	0.22
GG                  2.53	2.42	2.46	2.38	2.46	2.57	2.55	2.37	2.38	2.55	2.36	2.37
RAITA               1.75	0.99	0.66	0.48	0.39	0.36	0.32	0.28	0.28	0.27	0.25	0.24
SMOA                1.56	1.48	1.52	1.50	1.55	1.58	1.60	1.51	1.48	1.54	1.48	1.48
RCOLUSSI            -	-	-	-	-	-	-	-	-	-	-	-
SKIP                0.93	0.81	0.70	0.56	0.45	0.42	0.34	0.31	0.31	0.36	0.41	0.49
KMPSKIP             0.96	0.85	0.76	0.66	0.53	0.43	0.39	0.35	0.34	0.35	0.34	0.35
ASKIP               1.09	0.90	0.73	0.51	0.44	0.42	0.58	0.93	1.85	3.61	7.05	15.22
BR                  1.30	0.91	0.64	0.47	0.40	0.30	0.25	0.23	0.26	0.23	0.21	0.20
AKC                 4.51	2.74	1.89	1.26	0.89	2.09	1.43	1.00	1.18	1.00	0.86	0.92
FS                  1.58	0.92	0.62	0.46	0.37	0.34	0.31	0.28	0.30	0.27	0.25	0.24
FFS                 1.57	0.91	0.63	0.45	0.36	0.32	0.29	0.27	0.28	0.26	0.25	-
BFS                 1.60	0.93	0.62	0.44	0.36	0.33	0.29	0.27	0.26	0.26	0.26	0.27
TS                  0.87	0.74	0.60	0.48	0.43	0.40	0.37	0.34	0.35	0.35	0.32	0.31
SSABS               1.40	0.95	0.68	0.50	0.41	0.38	0.34	0.30	0.29	0.29	0.26	0.25
TVSBS               1.19	0.86	0.61	0.46	0.35	0.30	0.25	0.24	0.24	0.23	0.22	-
PBMH                1.87	1.03	0.68	0.47	0.39	0.35	0.38	0.40	0.72	2.10	6.93	26.45
FJS                 1.55	0.96	0.70	0.52	0.42	0.38	0.39	0.31	0.30	0.29	0.27	0.26
HASH3               0.86	1.70	0.72	0.43	0.31	0.27	0.26	0.22	0.23	0.23	0.21	0.22
HASH5               0.86	0.82	1.06	0.49	0.33	0.28	0.25	0.22	0.23	0.23	0.22	0.22
HASH8               0.82	0.81	4.24	0.68	0.37	0.29	0.24	0.23	0.23	0.24	0.23	0.23
TSW                 0.91	0.67	0.49	0.39	0.30	0.28	0.23	0.23	0.22	0.22	0.20	0.20
GRASPM              1.48	0.91	0.60	0.46	0.36	0.36	0.28	0.27	0.25	0.24	0.22	0.23
SSEF                0.81	0.82	0.81	0.85	2.47	2.58	2.41	2.50	2.46	2.88	4.13	8.51
AUT                 1.77	1.81	1.78	1.83	1.81	1.78	1.91	1.94	1.99	2.27	2.71	3.35
RF                  0.96	0.85	0.71	0.56	0.39	0.36	0.36	0.42	0.58	0.90	1.58	2.75
TRF                 1.28	1.07	0.85	0.65	0.46	0.43	0.44	0.55	0.78	1.45	2.47	4.52
SIMON               1.46	1.55	1.44	1.54	1.54	1.46	1.51	1.56	1.47	1.54	1.58	1.57
FDM                 1.92	2.51	3.32	4.00	4.05	4.14	4.96	6.45	7.33	8.88	11.65	14.00
BOM                 1.27	1.09	0.97	0.87	0.71	0.56	0.44	0.39	0.31	0.30	0.32	0.38
BOM2                1.11	0.90	0.73	0.52	0.38	0.31	0.30	0.36	0.38	0.55	0.90	1.55
DFDM                2.02	2.60	3.52	4.02	4.07	4.20	5.03	6.70	7.36	9.48	11.86	14.44
WW                  1.36	1.08	0.87	0.59	0.41	0.38	0.41	0.60	0.78	1.48	2.54	4.67
