BF                  1.12	1.12	1.12	1.13	1.22	1.14	1.15	1.11	1.21	1.12	1.11	1.15
MP                  2.03	2.02	2.03	2.01	2.21	2.10	2.09	1.98	2.21	2.02	2.02	2.10
KMP                 2.02	2.00	1.99	1.99	2.21	2.10	2.08	2.00	2.22	2.02	2.03	2.09
BM                  2.18	1.27	0.80	0.58	0.55	0.46	0.47	0.44	0.48	0.42	0.41	0.42
HOR                 1.72	0.98	0.65	0.49	0.48	0.41	0.39	0.39	0.45	0.39	0.39	0.41
GS                  1.96	1.88	1.89	1.91	2.02	1.97	1.91	1.88	2.03	1.88	1.91	1.95
AG                  3.38	1.99	1.42	1.09	0.92	0.88	1.04	1.21	1.71	2.35	3.65	6.63
KR                  0.80	0.69	0.68	0.68	0.68	0.70	0.70	0.69	0.71	0.68	0.67	0.69
ZT                  2.24	1.20	0.72	0.47	0.34	0.30	0.25	0.24	0.27	0.24	0.24	-
AC                  1.73	1.63	1.68	1.63	1.61	1.67	1.66	1.61	1.72	1.63	1.65	1.67
TW                  1.03	0.92	0.92	0.89	0.90	0.93	0.94	0.92	0.97	0.91	0.91	0.94
OM                  1.49	0.99	0.72	0.53	0.44	0.43	0.43	0.41	0.46	0.42	0.48	-
MS                  1.47	0.98	0.71	0.52	0.43	0.40	0.39	0.38	0.46	0.49	0.77	-
QS                  1.38	0.91	0.67	0.48	0.41	0.40	0.40	0.39	0.44	0.40	0.40	0.40
NSN                 0.90	0.87	0.90	0.86	0.88	0.91	0.90	0.87	0.93	0.92	0.90	0.91
TBM                 2.65	1.49	0.96	0.67	0.55	0.52	0.52	0.49	0.54	0.54	0.48	0.48
COLUSSI             2.08	2.09	2.15	2.09	2.08	2.16	2.16	2.07	2.22	2.20	2.16	2.16
SMITH               1.55	1.02	0.69	0.48	0.40	0.37	0.36	0.35	0.40	0.41	0.37	0.36
GG                  2.26	2.38	2.47	2.43	2.36	2.47	2.48	2.32	2.59	2.54	2.47	2.47
RAITA               1.65	0.99	0.67	0.49	0.41	0.41	0.41	0.39	0.45	0.45	0.40	0.40
SMOA                1.48	1.51	1.55	1.52	1.50	1.54	1.55	1.48	1.59	1.56	1.54	1.53
RCOLUSSI            -	-	-	-	-	-	-	-	-	-	-	-
