TVSBS               2.34	1.78	1.31	1.13	0.96	0.70	0.68	0.66	0.68	0.60	0.56	-
SBNDMQ2             1.45	0.92	0.77	0.77	0.71	0.65	0.66	0.68	0.69	0.65	0.64	0.63
BXS2                1.98	0.99	0.79	0.73	0.74	0.66	0.67	0.66	0.66	0.65	0.63	0.64
FS-W8               1.28	0.95	0.79	0.74	0.66	0.63	0.59	0.60	0.56	0.65	0.57	0.61
FSBNDM-W6           1.97	2.00	0.81	0.81	0.72	0.65	0.65	0.62	0.66	0.65	0.62	0.63
FSBNDMQ20           1.51	0.92	0.78	0.93	0.71	0.63	0.63	0.63	0.69	0.68	0.66	0.63
LWFR4               2.00	2.00	0.86	0.96	0.68	0.60	0.56	0.55	0.56	0.58	0.58	0.61
QF34                2.03	1.23	0.81	0.95	0.64	0.60	0.55	0.54	0.58	0.59	0.54	0.54
QF43                2.03	2.02	0.84	0.81	0.62	0.60	0.58	0.53	0.56	0.56	0.55	0.53
TSA                 2.13	1.36	1.03	0.79	0.71	0.60	0.74	0.65	0.69	0.74	0.68	0.68
WFRQ3               2.02	2.33	1.07	0.72	0.66	0.65	0.62	0.56	0.56	0.57	0.54	0.56
TWFR3               2.05	1.78	1.03	0.73	0.64	0.62	0.58	0.56	0.55	0.61	0.56	0.59
TWFRQ4              2.07	1.99	1.20	0.96	0.62	0.58	0.57	0.58	0.55	0.74	0.66	0.72
MUSL1               1.39	1.58	1.48	1.20	0.88	0.80	0.71	0.65	0.69	0.71	0.65	0.65
SIMDKR              0.69	0.76	0.73	0.68	0.58	0.60	0.59	0.57	0.60	0.63	0.56	0.57
EPSM                0.66	0.69	0.94	0.72	0.58	0.55	0.57	0.54	0.60	0.63	0.66	0.83
HC4                 -	1.81	0.88	0.73	0.62	0.55	0.55	0.53	0.54	0.54	0.52	0.54
LHC3                -	1.25	0.88	0.78	0.64	0.59	0.56	0.57	0.55	0.55	0.53	0.55
LHC7                -	-	1.89	0.88	0.65	0.57	0.55	0.58	0.54	0.54	0.55	0.54
FHC3                -	1.17	0.79	0.78	0.59	0.63	0.55	0.62	0.56	0.53	0.55	0.53
