TVSBS               4.32	3.33	2.47	1.83	1.54	1.43	1.42	1.42	1.41	1.42	1.49	-
SBNDMQ2             2.36	2.01	1.78	1.25	0.90	0.88	0.90	0.88	0.91	0.88	0.88	0.93
BXS2                2.00	2.18	1.83	1.29	0.92	0.92	0.93	0.94	0.96	0.94	0.93	0.97
FS-W8               4.99	3.31	2.54	2.09	1.86	1.64	1.56	1.43	1.32	1.27	1.19	-
FSBNDM-W6           1.97	1.95	-	-	0.97	-	-	-	-	-	-	-
FSBNDMQ20           2.48	1.97	1.81	1.23	0.89	0.89	0.93	0.90	0.91	0.92	0.89	0.99
LWFR4               1.98	1.99	0.93	0.70	0.64	0.61	0.59	0.57	0.57	0.56	0.58	0.67
QF34                1.99	1.59	1.00	0.83	0.78	0.71	0.66	0.61	0.82	58.14	-	-
QF43                2.05	1.93	0.89	0.67	0.62	0.60	0.58	0.57	0.56	0.55	0.59	0.76
TSA                 2.95	2.04	1.38	1.04	0.85	0.69	3.05	2.98	3.08	3.01	3.13	3.13
WFRQ3               1.95	2.40	1.25	0.88	0.79	0.66	0.57	0.55	0.55	0.59	0.58	0.55
TWFR3               1.94	2.05	1.14	0.84	0.77	0.65	0.58	0.56	0.55	0.58	0.56	0.58
TWFRQ4              1.95	2.02	0.90	0.70	0.64	0.61	0.59	0.56	0.54	3.21	3.48	3.23
MUSL1               2.37	1.61	3.46	3.26	3.19	3.17	3.19	3.21	3.23	3.27	3.50	3.23
SIMDKR              0.94	1.00	0.92	0.91	0.91	0.89	0.91	0.94	0.92	0.90	1.10	0.91
EPSM                0.62	0.66	0.85	0.62	0.56	0.55	0.55	0.56	0.57	0.71	0.72	0.88
HC4                 -	1.82	0.84	0.67	0.62	0.63	0.58	0.55	0.55	0.62	0.60	0.60
LHC3                -	1.57	1.04	0.89	0.81	0.68	0.59	0.56	0.56	0.63	0.63	0.63
LHC7                -	-	1.70	0.77	0.62	0.60	0.56	0.54	0.57	0.59	0.58	0.60
FHC3                -	1.42	0.92	0.81	0.75	0.66	0.58	0.57	0.57	0.63	0.61	0.80
