TVSBS               2.12	1.62	1.20	0.93	0.76	0.66	0.62	0.61	0.58	0.56	0.55	-
SBNDMQ2             1.30	0.79	0.65	0.58	0.56	0.56	0.56	0.56	0.56	0.56	0.56	0.56
BXS2                1.88	0.85	0.66	0.59	0.56	0.56	0.56	0.56	0.56	0.56	0.56	0.56
FS-W8               1.21	0.87	0.71	0.63	0.59	0.57	0.56	0.56	0.57	0.57	0.58	0.60
FSBNDM-W6           1.88	1.88	0.71	0.62	0.58	0.57	0.58	0.58	0.58	0.58	0.57	0.58
FSBNDMQ20           1.38	0.82	0.65	0.58	0.56	0.56	0.56	0.56	0.56	0.56	0.56	0.56
LWFR4               1.88	1.85	0.78	0.63	0.57	0.55	0.54	0.53	0.54	0.54	0.56	0.61
QF34                1.88	1.08	0.72	0.61	0.56	0.54	0.53	0.52	0.52	0.52	0.52	0.53
QF43                1.88	1.88	0.76	0.61	0.57	0.54	0.53	0.52	0.52	0.52	0.52	0.52
TSA                 1.85	1.18	0.84	0.67	0.59	0.55	0.73	0.72	0.73	0.73	0.74	0.77
WFRQ3               1.88	2.02	0.90	0.65	0.59	0.56	0.55	0.54	0.53	0.53	0.53	0.55
TWFR3               1.88	1.64	0.81	0.62	0.58	0.55	0.55	0.54	0.54	0.54	0.55	0.57
TWFRQ4              1.88	1.85	0.79	0.63	0.57	0.55	0.54	0.53	0.53	0.73	0.74	0.77
MUSL1               1.31	1.50	1.15	1.07	0.91	0.76	0.71	0.71	0.71	0.71	0.72	0.72
SIMDKR              0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.57	0.56	0.57
EPSM                0.60	0.63	0.73	0.62	0.56	0.54	0.54	0.54	0.56	0.59	0.65	0.80
HC4                 -	1.69	0.77	0.62	0.57	0.54	0.53	0.52	0.52	0.52	0.52	0.52
LHC3                -	1.12	0.73	0.62	0.57	0.55	0.54	0.53	0.52	0.52	0.53	0.53
LHC7                -	-	1.68	0.75	0.61	0.56	0.54	0.53	0.52	0.52	0.53	0.54
FHC3                -	1.04	0.69	0.60	0.56	0.55	0.54	0.53	0.52	0.52	0.52	0.52
