TVSBS               2.81	2.70	2.60	2.79	2.83	2.87	2.78	2.65	2.83	2.84	2.91	-
SBNDMQ2             2.39	2.36	1.47	0.85	0.52	0.49	0.49	0.50	0.50	0.50	0.49	0.56
BXS2                0.83	2.68	1.76	0.96	0.60	0.60	0.59	0.61	0.60	0.60	0.58	0.63
FS-W8               -	-	-	2.91	3.19	3.27	3.49	3.35	3.55	3.56	3.62	3.52
FSBNDM-W6           -	-	-	2.86	3.18	3.25	3.44	3.39	3.54	3.57	3.62	3.55
FSBNDMQ20           2.43	2.28	1.49	0.82	0.52	0.51	0.50	0.50	0.52	0.52	0.51	0.51
FSBNDMQ41           0.85	1.61	1.20	0.78	0.50	0.50	0.49	0.48	0.50	0.50	0.49	0.51
LWFR4               0.85	1.41	1.24	0.77	0.48	0.37	0.29	0.26	0.28	20.30	181.10	-
QF34                0.84	2.50	1.72	1.23	1.59	4.33	8.62	17.03	32.91	62.08	110.82	215.71
QF43                0.84	0.84	1.40	0.72	0.58	0.45	2.04	9.43	19.29	32.94	66.24	117.87
TSA                 2.10	1.88	1.23	0.75	0.52	0.34	3.50	3.55	3.61	3.45	3.67	3.61
WFRQ3               0.84	2.37	2.09	0.74	0.49	0.36	0.28	0.26	0.25	9.97	-	-
TWFR3               0.84	1.94	1.99	0.90	0.56	0.40	0.30	0.27	0.28	45.92	-	-
TWFRQ4              0.84	1.35	1.19	0.64	0.36	0.28	0.26	0.25	0.24	3.42	3.67	3.59
MUSL1               2.76	1.15	2.97	3.04	3.31	3.69	3.69	3.74	3.80	3.61	3.84	3.75
SIMDKR              0.78	1.27	0.84	0.79	0.78	0.80	0.80	0.82	0.82	0.80	0.82	0.81
KRSIMD              1.89	1.39	0.63	0.54	0.53	0.54	0.54	0.59	0.58	0.56	0.61	0.96
EPSM                0.25	0.26	1.19	0.30	0.25	0.24	0.23	0.23	0.24	0.24	0.29	0.38
HC4                 -	1.39	1.09	0.70	0.44	0.36	0.32	13.23	75.89	136.20	293.61	-
LHC3                -	2.05	1.52	0.94	0.69	1.00	2.76	3.96	4.01	3.87	4.07	3.79
LHC7                -	-	0.82	0.41	0.30	0.27	0.23	0.21	0.20	0.19	0.23	0.20
FHC3                -	1.96	1.27	0.72	0.57	0.63	12.49	49.79	95.40	169.27	-	-
