SO                  1.46	1.46	1.48	1.51	1.49	1.34	1.33	1.30	1.36	1.36	1.29	1.51
SBNDM               5.13	4.89	3.34	2.04	1.24	1.27	1.25	1.25	1.23	1.25	1.27	1.44
SBNDM2              5.03	4.88	3.25	1.89	1.22	1.20	1.18	1.20	1.22	1.18	1.17	1.32
FNDM                6.67	4.71	3.20	2.26	1.61	1.66	1.66	1.61	1.64	1.62	1.67	1.83
UFNDMQ2             5.63	4.65	3.65	2.28	1.63	1.63	1.62	1.68	1.57	1.65	1.65	1.87
UFNDMQ8             -	-	1.20	0.95	0.87	0.85	0.86	0.84	0.80	0.82	0.89	0.95
SABP                7.94	7.11	5.83	5.54	6.28	-	6.14	6.50	5.98	6.20	6.04	7.27
KBNDM               6.82	5.30	3.82	2.13	1.44	1.23	1.14	1.24	1.19	1.20	1.19	1.36
FS-W2               7.10	5.94	4.69	3.35	2.67	2.24	1.81	1.70	1.43	1.39	1.29	1.39
FSBNDMQ21           6.25	4.77	3.14	1.83	1.19	1.17	1.20	1.26	1.18	1.24	1.16	1.32
LWFR5               -	-	2.96	1.60	1.19	0.98	0.83	0.80	0.90	31.72	-	-
SBNDM-W2            -	-	-	-	1.17	1.29	1.21	1.22	1.13	1.15	1.19	1.37
WFR2                6.63	5.18	3.09	1.99	1.30	1.06	0.85	0.84	0.89	-	-	-
TWFRQ2              5.90	5.08	2.89	1.87	1.19	0.94	0.80	0.83	0.83	-	-	-
TWFRQ4              -	3.41	2.70	1.55	0.93	0.75	0.73	0.74	0.82	-	-	-
WOM                 6.59	6.42	5.33	4.74	4.16	3.61	3.45	3.04	2.95	2.73	2.72	2.79
EPSM                0.65	0.70	2.72	0.87	0.69	0.70	0.65	0.73	0.77	0.83	0.97	1.23
LIBC1               5.26	7.20	4.22	2.94	2.96	3.05	2.84	2.79	7.13	7.21	8.80	8.19
MUSL1               0.08	0.05	0.01	0.37	3.17	3.45	3.76	3.42	3.47	3.85	4.65	4.49
SIMDKR              1.86	2.95	2.28	2.15	2.10	1.98	1.96	1.99	1.91	1.90	2.36	2.40
